,perturbs,loss
399,0,0.3742015063762665
799,1,0.3742896318435669
1199,2,0.3743613064289093
1599,3,0.3744293749332428
1999,4,0.37404850125312805
2399,5,0.37412029504776
2799,6,0.37419888377189636
3199,7,0.37426725029945374
3599,8,0.3743385374546051
3999,9,0.37442052364349365
4399,10,0.37448281049728394
4799,11,0.3745468258857727
5199,12,0.37461045384407043
5599,13,0.3746747672557831
5999,14,0.3747432827949524
6399,15,0.37479013204574585
6799,16,0.37485554814338684
7199,17,0.3749302625656128
7599,18,0.37499722838401794
7999,19,0.37506890296936035
8399,20,0.37511658668518066
8799,21,0.375177264213562
9199,22,0.37523671984672546
9599,23,0.3752914071083069
9999,24,0.37537792325019836
10399,25,0.375436007976532
10799,26,0.37549304962158203
11199,27,0.37554270029067993
11599,28,0.37559300661087036
11999,29,0.3756249248981476
12399,30,0.3756641745567322
12799,31,0.37571367621421814
13199,32,0.37577879428863525
13599,33,0.3758237659931183
13999,34,0.3758819103240967
14399,35,0.37594419717788696
14799,36,0.3760055899620056
15199,37,0.3760640621185303
15599,38,0.3761221468448639
15999,39,0.37617728114128113
16399,40,0.3762448728084564
16799,41,0.37629514932632446
17199,42,0.3763410449028015
17599,43,0.3763933479785919
17999,44,0.37644705176353455
18399,45,0.3765079081058502
18799,46,0.37656310200691223
19199,47,0.3766140043735504
19599,48,0.3766472637653351
19999,49,0.37670835852622986
20399,50,0.3767664432525635
20799,51,0.37681037187576294
21199,52,0.37685561180114746
21599,53,0.3768990635871887
21999,54,0.3769587278366089
22399,55,0.37701693177223206
22799,56,0.37705814838409424
23199,57,0.37709787487983704
23599,58,0.3771192133426666
23999,59,0.3771854341030121
24399,60,0.37723249197006226
24799,61,0.37729308009147644
25199,62,0.37734416127204895
25599,63,0.37740787863731384
25999,64,0.37744900584220886
26399,65,0.37749195098876953
26799,66,0.3775513172149658
27199,67,0.3775831460952759
27599,68,0.3776211738586426
27999,69,0.37766265869140625
28399,70,0.377702921628952
28799,71,0.3777337074279785
29199,72,0.3777799904346466
29599,73,0.3778328001499176
29999,74,0.37786245346069336
30399,75,0.37789592146873474
30799,76,0.37796053290367126
31199,77,0.3780081272125244
31599,78,0.37807518243789673
31999,79,0.3781112730503082
32399,80,0.37815967202186584
32799,81,0.37821561098098755
33199,82,0.3782682716846466
33599,83,0.3783351182937622
33999,84,0.3783847689628601
34399,85,0.3784370720386505
34799,86,0.3784783184528351
35199,87,0.37851986289024353
35599,88,0.37855327129364014
35999,89,0.3781564235687256
36399,90,0.3782224953174591
36799,91,0.37825408577919006
37199,92,0.3782998323440552
37599,93,0.3783426582813263
37999,94,0.3783714473247528
38399,95,0.3784186542034149
38799,96,0.37847471237182617
39199,97,0.3785252571105957
39599,98,0.378581166267395
39999,99,0.37862202525138855
40399,100,0.3786699175834656
40799,101,0.378702849149704
41199,102,0.37876400351524353
41599,103,0.37877970933914185
41999,104,0.3788183927536011
42399,105,0.3788796067237854
42799,106,0.37892070412635803
43199,107,0.3789796829223633
43599,108,0.379031240940094
43999,109,0.3790707588195801
44399,110,0.3791067600250244
44799,111,0.3791354298591614
45199,112,0.37919920682907104
