,perturbs,loss
399,0,0.36867403984069824
799,1,0.368761271238327
1199,2,0.3688316345214844
1599,3,0.3688983917236328
1999,4,0.36851224303245544
2399,5,0.36858096718788147
2799,6,0.36866116523742676
3199,7,0.3687283992767334
3599,8,0.3687986731529236
3999,9,0.3688792884349823
4399,10,0.368940532207489
4799,11,0.36900365352630615
5199,12,0.3690659999847412
5599,13,0.3691293001174927
5999,14,0.3691754937171936
6399,15,0.3688288927078247
6799,16,0.368894100189209
7199,17,0.36896148324012756
7599,18,0.36902791261672974
7999,19,0.36910155415534973
8399,20,0.36914610862731934
8799,21,0.3692059814929962
9199,22,0.3692648410797119
9599,23,0.3693183958530426
9999,24,0.3694017231464386
10399,25,0.3694586753845215
10799,26,0.36951500177383423
11199,27,0.3695642352104187
11599,28,0.36961284279823303
11999,29,0.3696434795856476
12399,30,0.36970752477645874
12799,31,0.36976009607315063
13199,32,0.36979925632476807
13599,33,0.36984142661094666
13999,34,0.36989516019821167
14399,35,0.36996030807495117
14799,36,0.37001773715019226
15199,37,0.3700751066207886
15599,38,0.3701342046260834
15999,39,0.37018847465515137
16399,40,0.3702559173107147
16799,41,0.3703015148639679
17199,42,0.3703506886959076
17599,43,0.3704111874103546
17999,44,0.37046748399734497
18399,45,0.3705184757709503
18799,46,0.3705742061138153
19199,47,0.37104031443595886
19599,48,0.37107279896736145
19999,49,0.3711298406124115
20399,50,0.3711911141872406
20799,51,0.3712334930896759
21199,52,0.3712773323059082
21599,53,0.3713356554508209
21999,54,0.3713782727718353
22399,55,0.371432363986969
22799,56,0.3714735507965088
23199,57,0.3715115785598755
23599,58,0.3715778887271881
23999,59,0.3716380298137665
24399,60,0.3716842234134674
24799,61,0.3717043697834015
25199,62,0.3717544972896576
25599,63,0.3713985085487366
25999,64,0.37144115567207336
26399,65,0.3714806139469147
26799,66,0.3715396523475647
27199,67,0.3715703785419464
27599,68,0.37161150574684143
27999,69,0.37165015935897827
28399,70,0.37169599533081055
28799,71,0.3717478811740875
29199,72,0.37178662419319153
29599,73,0.3718171715736389
29999,74,0.37187740206718445
30399,75,0.37191373109817505
30799,76,0.37198060750961304
31199,77,0.37201011180877686
31599,78,0.37205666303634644
31999,79,0.3720912039279938
32399,80,0.3721582293510437
32799,81,0.37221065163612366
33199,82,0.37225914001464844
33599,83,0.37231388688087463
33999,84,0.37236514687538147
34399,85,0.3724139630794525
34799,86,0.37245506048202515
35199,87,0.37205567955970764
35599,88,0.37209635972976685
35999,89,0.37216195464134216
36399,90,0.37219488620758057
36799,91,0.3722374141216278
37199,92,0.3722878694534302
37599,93,0.37231871485710144
37999,94,0.3723622262477875
38399,95,0.372387558221817
38799,96,0.37244367599487305
39199,97,0.3724990785121918
39599,98,0.37254852056503296
39999,99,0.37258782982826233
40399,100,0.372648149728775
40799,101,0.3726792335510254
41199,102,0.37272608280181885
41599,103,0.3727641999721527
41999,104,0.372778981924057
42399,105,0.3728378117084503
42799,106,0.37288910150527954
43199,107,0.3729245960712433
43599,108,0.37296491861343384
43999,109,0.37300342321395874
44399,110,0.3726130723953247
44799,111,0.37267404794692993
45199,112,0.3727380633354187
45599,113,0.37276503443717957
45999,114,0.3728106915950775
46399,115,0.3728700280189514
46799,116,0.3729138970375061
47199,117,0.37294527888298035
47599,118,0.3729543387889862
47999,119,0.37299174070358276
48399,120,0.37304675579071045
48799,121,0.37309181690216064
49199,122,0.3731335699558258
49599,123,0.3731796145439148
49999,124,0.37320420145988464
50399,125,0.37325844168663025
50799,126,0.37330248951911926
51199,127,0.37334200739860535
51599,128,0.37340018153190613
51999,129,0.37346890568733215
52399,130,0.37351924180984497
52799,131,0.3731164336204529
53199,132,0.3731590211391449
53599,133,0.37320810556411743
53999,134,0.37325775623321533
54399,135,0.3732788860797882
54799,136,0.3728747069835663
55199,137,0.37292781472206116
55599,138,0.37296628952026367
55999,139,0.3729914426803589
