,perturbs,loss
299,0,0.3286013603210449
599,1,0.3286459147930145
899,2,0.32866713404655457
1199,3,0.32869601249694824
1499,4,0.328715056180954
1799,5,0.3287264108657837
2099,6,0.3287428021430969
2399,7,0.32877328991889954
2699,8,0.3288038372993469
2999,9,0.3288343548774719
3299,10,0.3288699984550476
3599,11,0.3288993537425995
3899,12,0.32893693447113037
4199,13,0.3289693593978882
4499,14,0.32899540662765503
4799,15,0.3290320038795471
5099,16,0.3290631175041199
5399,17,0.3290936052799225
5699,18,0.3291145861148834
5999,19,0.329128235578537
6299,20,0.32915306091308594
6599,21,0.3291851580142975
6899,22,0.32920992374420166
7199,23,0.32922762632369995
7499,24,0.3292620778083801
7799,25,0.3292858898639679
8099,26,0.3293137550354004
8399,27,0.32934361696243286
8699,28,0.32935723662376404
8999,29,0.3293866515159607
9299,30,0.32941195368766785
9599,31,0.32944825291633606
9899,32,0.3294634222984314
10199,33,0.32949116826057434
10499,34,0.32950273156166077
10799,35,0.32952752709388733
11099,36,0.32955196499824524
11399,37,0.3295757472515106
11699,38,0.3296085596084595
11999,39,0.32964015007019043
12299,40,0.329657644033432
12599,41,0.3296932280063629
12899,42,0.3297234773635864
13199,43,0.32974499464035034
13499,44,0.3297732174396515
13799,45,0.3297874927520752
14099,46,0.3298094868659973
14399,47,0.32983383536338806
14699,48,0.3298565447330475
14999,49,0.3298783004283905
15299,50,0.3299050033092499
15599,51,0.32993263006210327
15899,52,0.3299627900123596
16199,53,0.329996794462204
16499,54,0.3300214111804962
16799,55,0.33003541827201843
17099,56,0.33006227016448975
17399,57,0.33006611466407776
17699,58,0.33009716868400574
17999,59,0.33011043071746826
18299,60,0.33013027906417847
18599,61,0.3301510214805603
18899,62,0.3301745057106018
19199,63,0.3301903307437897
19499,64,0.3302139937877655
19799,65,0.33023741841316223
20099,66,0.33024507761001587
20399,67,0.3302716314792633
20699,68,0.3302912414073944
20999,69,0.3303218483924866
21299,70,0.3303506374359131
21599,71,0.3303810656070709
21899,72,0.3304000198841095
22199,73,0.3304232060909271
22499,74,0.330444872379303
22799,75,0.33046871423721313
23099,76,0.3305056691169739
23399,77,0.3305307924747467
23699,78,0.3305637240409851
23999,79,0.33057621121406555
24299,80,0.33060422539711
24599,81,0.3306412994861603
24899,82,0.33066070079803467
25199,83,0.3306751251220703
25499,84,0.3307052552700043
25799,85,0.33073341846466064
26099,86,0.33076056838035583
26399,87,0.33078423142433167
26699,88,0.3308125138282776
26999,89,0.3308314383029938
27299,90,0.3308391869068146
27599,91,0.33085867762565613
27899,92,0.33087751269340515
28199,93,0.33089473843574524
28499,94,0.33091315627098083
