,perturbs,loss
99,0,0.3557383120059967
199,1,0.3557014465332031
299,2,0.35584014654159546
399,3,0.3556148409843445
499,4,0.3557736873626709
599,5,0.35575711727142334
699,6,0.35569730401039124
799,7,0.3557659685611725
899,8,0.3558380901813507
999,9,0.35583972930908203
1099,10,0.3558450937271118
1199,11,0.3556672930717468
1299,12,0.35565122961997986
1399,13,0.3556729555130005
1499,14,0.35555341839790344
1599,15,0.3555881679058075
1699,16,0.3557162880897522
1799,17,0.35559001564979553
1899,18,0.35551735758781433
1999,19,0.3555428087711334
2099,20,0.3557843565940857
2199,21,0.355879008769989
2299,22,0.35589316487312317
2399,23,0.3558274507522583
2499,24,0.3558618128299713
2599,25,0.3558131456375122
2699,26,0.35575488209724426
2799,27,0.3558329641819
2899,28,0.3558347523212433
2999,29,0.3557834327220917
3099,30,0.3558843433856964
3199,31,0.3558444082736969
3299,32,0.3558273911476135
3399,33,0.35567280650138855
3499,34,0.3557072579860687
3599,35,0.3558030426502228
3699,36,0.355824738740921
3799,37,0.3558114469051361
3899,38,0.35580161213874817
3999,39,0.35585346817970276
4099,40,0.355801522731781
4199,41,0.35581251978874207
4299,42,0.3558448255062103
4399,43,0.35578569769859314
4499,44,0.3558005392551422
4599,45,0.35568490624427795
4699,46,0.3558289706707001
4799,47,0.355894535779953
4899,48,0.3558441400527954
4999,49,0.3558312952518463
5099,50,0.35574665665626526
5199,51,0.3557005524635315
5299,52,0.3558078706264496
5399,53,0.3557184934616089
5499,54,0.35568562150001526
5599,55,0.355713427066803
5699,56,0.3558723032474518
5799,57,0.35579413175582886
5899,58,0.3556709289550781
5999,59,0.3559083938598633
6099,60,0.3557012975215912
6199,61,0.3557755947113037
6299,62,0.355820894241333
6399,63,0.3558347523212433
6499,64,0.3557337522506714
6599,65,0.35560423135757446
6699,66,0.3556826412677765
6799,67,0.35582491755485535
6899,68,0.355791836977005
6999,69,0.3557710349559784
7099,70,0.355787068605423
7199,71,0.35570216178894043
7299,72,0.35573965311050415
7399,73,0.3558062016963959
7499,74,0.355744332075119
7599,75,0.3558313250541687
7699,76,0.3558667302131653
7799,77,0.3558865487575531
7899,78,0.3557104766368866
7999,79,0.35590216517448425
8099,80,0.3558865785598755
8199,81,0.35572999715805054
8299,82,0.3555406928062439
8399,83,0.35572826862335205
8499,84,0.35555005073547363
8599,85,0.35559970140457153
8699,86,0.355679452419281
8799,87,0.3555346727371216
8899,88,0.3557584285736084
8999,89,0.35590100288391113
9099,90,0.3558346927165985
9199,91,0.3557475805282593
9299,92,0.35590800642967224
9399,93,0.35591307282447815
9499,94,0.35587364435195923
9599,95,0.355733186006546
9699,96,0.3558187782764435
9799,97,0.35584557056427
9899,98,0.3558436930179596
9999,99,0.35568830370903015
10099,100,0.3556937575340271
10199,101,0.3558971583843231
10299,102,0.35572314262390137
10399,103,0.35591718554496765
10499,104,0.35579797625541687
10599,105,0.35589301586151123
10699,106,0.3556883633136749
10799,107,0.35569414496421814
10899,108,0.35576513409614563
10999,109,0.3558505177497864
11099,110,0.3559230864048004
11199,111,0.3558647334575653
11299,112,0.3557317554950714
11399,113,0.35568636655807495
11499,114,0.3557942509651184
11599,115,0.35592690110206604
11699,116,0.3557228744029999
11799,117,0.35569119453430176
11899,118,0.35578641295433044
11999,119,0.35584527254104614
12099,120,0.35591456294059753
12199,121,0.35593441128730774
12299,122,0.3555988669395447
12399,123,0.3557165265083313
12499,124,0.35586920380592346
12599,125,0.35581162571907043
12699,126,0.35579177737236023
12799,127,0.35569798946380615
12899,128,0.35581687092781067
12999,129,0.35568729043006897
13099,130,0.3557063341140747
13199,131,0.35589393973350525
13299,132,0.3556959331035614
13399,133,0.35577312111854553
13499,134,0.3557355999946594
13599,135,0.35573917627334595
13699,136,0.3559282124042511
13799,137,0.3558398187160492
13899,138,0.3558415472507477
13999,139,0.3556904196739197
14099,140,0.3557237982749939
14199,141,0.3559035658836365
14299,142,0.35589730739593506
14399,143,0.35589486360549927
14499,144,0.35572749376296997
14599,145,0.3557293713092804
14699,146,0.3557828664779663
14799,147,0.3558923900127411
14899,148,0.35572105646133423
14999,149,0.35588958859443665
15099,150,0.3558233976364136
15199,151,0.3558662235736847
15299,152,0.35572370886802673
15399,153,0.3557140827178955
15499,154,0.35576489567756653
15599,155,0.35577669739723206
15699,156,0.35584333539009094
15799,157,0.3558894097805023
15899,158,0.3558313846588135
15999,159,0.3558630347251892
16099,160,0.3559149503707886
16199,161,0.35578811168670654
16299,162,0.35580679774284363
16399,163,0.3557729721069336
16499,164,0.3558752238750458
16599,165,0.35587355494499207
16699,166,0.35582995414733887
16799,167,0.3557332456111908
16899,168,0.35583123564720154
16999,169,0.35589852929115295
17099,170,0.35573580861091614
17199,171,0.35588759183883667
17299,172,0.3557269275188446
17399,173,0.3557112216949463
17499,174,0.3557603061199188
17599,175,0.3558253347873688
17699,176,0.3558007776737213
17799,177,0.35588374733924866
17899,178,0.3558957278728485
17999,179,0.3557930290699005
18099,180,0.35588425397872925
18199,181,0.35583072900772095
18299,182,0.355910062789917
18399,183,0.35580986738204956
18499,184,0.35574600100517273
18599,185,0.355760395526886
18699,186,0.35570618510246277
18799,187,0.35575759410858154
18899,188,0.3557679057121277
18999,189,0.3556906580924988
19099,190,0.3558788597583771
19199,191,0.3558061420917511
19299,192,0.3558609187602997
19399,193,0.35578829050064087
19499,194,0.355945885181427
19599,195,0.35579338669776917
19699,196,0.35591256618499756
19799,197,0.35588616132736206
19899,198,0.3559316098690033
19999,199,0.3556917905807495
20099,200,0.3558083474636078
20199,201,0.35588303208351135
20299,202,0.35582995414733887
20399,203,0.3559066653251648
20499,204,0.3559388518333435
20599,205,0.3558844327926636
20699,206,0.3558569848537445
20799,207,0.3558048605918884
20899,208,0.3558485209941864
20999,209,0.3558318614959717
21099,210,0.35586023330688477
21199,211,0.35569727420806885
21299,212,0.355843722820282
21399,213,0.3559739291667938
21499,214,0.35591354966163635
21599,215,0.35585445165634155
21699,216,0.35588619112968445
21799,217,0.3559454083442688
21899,218,0.35590124130249023
21999,219,0.35583260655403137
22099,220,0.35595911741256714
22199,221,0.35575634241104126
22299,222,0.3557726740837097
22399,223,0.3559649884700775
22499,224,0.3558658957481384
22599,225,0.355934202671051
22699,226,0.3559490144252777
22799,227,0.3557623326778412
22899,228,0.35577866435050964
22999,229,0.3559300899505615
23099,230,0.35592588782310486
23199,231,0.3558645248413086
23299,232,0.35580235719680786
23399,233,0.35580191016197205
23499,234,0.355787068605423
23599,235,0.35575857758522034
23699,236,0.3557319641113281
23799,237,0.3557952344417572
23899,238,0.355851948261261
23999,239,0.35573649406433105
24099,240,0.355895072221756
24199,241,0.3558305501937866
24299,242,0.35591089725494385
24399,243,0.3559191823005676
24499,244,0.35586634278297424
24599,245,0.3558114171028137
24699,246,0.3558598756790161
24799,247,0.35598495602607727
24899,248,0.3557761311531067
24999,249,0.3557851016521454
25099,250,0.35582253336906433
25199,251,0.35596010088920593
25299,252,0.3559299409389496
25399,253,0.3559427559375763
25499,254,0.3559022545814514
25599,255,0.35593777894973755
25699,256,0.3559384047985077
25799,257,0.355940580368042
25899,258,0.35588812828063965
25999,259,0.355943888425827
26099,260,0.35592836141586304
26199,261,0.35584691166877747
26299,262,0.3558181822299957
26399,263,0.3559551239013672
26499,264,0.355911523103714
26599,265,0.3558312952518463
26699,266,0.35591766238212585
26799,267,0.35575389862060547
26899,268,0.3558041751384735
26999,269,0.35581374168395996
27099,270,0.3559240400791168
27199,271,0.3557722866535187
27299,272,0.35591864585876465
27399,273,0.3559631109237671
27499,274,0.3559296429157257
27599,275,0.3557588756084442
27699,276,0.35576769709587097
27799,277,0.35575804114341736
27899,278,0.355928897857666
27999,279,0.35579362511634827
28099,280,0.3558661937713623
28199,281,0.3559491038322449
28299,282,0.35578110814094543
28399,283,0.3558898866176605
28499,284,0.35591641068458557
28599,285,0.35584893822669983
28699,286,0.35587990283966064
28799,287,0.3559041917324066
28899,288,0.35595935583114624
28999,289,0.355913907289505
29099,290,0.35581132769584656
29199,291,0.35589709877967834
29299,292,0.35590073466300964
29399,293,0.35594743490219116
29499,294,0.35588404536247253
29599,295,0.35576534271240234
29699,296,0.35590243339538574
29799,297,0.35581058263778687
29899,298,0.3558661937713623
29999,299,0.35587507486343384
30099,300,0.3557944595813751
30199,301,0.35590890049934387
30299,302,0.3558947443962097
30399,303,0.355794221162796
30499,304,0.35594335198402405
30599,305,0.35573887825012207
30699,306,0.3559410274028778
30799,307,0.3558407127857208
30899,308,0.3558853268623352
30999,309,0.3558729887008667
31099,310,0.3558395206928253
31199,311,0.35583552718162537
31299,312,0.3558417856693268
31399,313,0.3559214472770691
31499,314,0.35590827465057373
31599,315,0.3557737171649933
31699,316,0.3557649850845337
31799,317,0.35587915778160095
31899,318,0.35569775104522705
31999,319,0.35594162344932556
32099,320,0.3560101389884949
32199,321,0.35597920417785645
32299,322,0.35591164231300354
32399,323,0.35581815242767334
32499,324,0.35590770840644836
32599,325,0.35596853494644165
32699,326,0.355863481760025
