,perturbs,loss
299,0,0.3073364496231079
599,1,0.307333379983902
899,2,0.30733296275138855
1199,3,0.30732402205467224
1499,4,0.30782410502433777
1799,5,0.307819664478302
2099,6,0.30781158804893494
2399,7,0.30780571699142456
2699,8,0.3078102469444275
2999,9,0.3078111708164215
3299,10,0.30781230330467224
3599,11,0.30783671140670776
3899,12,0.30783703923225403
4199,13,0.3078465163707733
4499,14,0.30782729387283325
4799,15,0.3073364496231079
5099,16,0.30784228444099426
5399,17,0.3078558146953583
5699,18,0.307860404253006
5999,19,0.3078511357307434
6299,20,0.30785122513771057
6599,21,0.3078509271144867
6899,22,0.3078538477420807
7199,23,0.30785688757896423
7499,24,0.30786746740341187
7799,25,0.30786803364753723
8099,26,0.3078843057155609
8399,27,0.30787625908851624
8699,28,0.30787718296051025
8999,29,0.307869553565979
9299,30,0.3078497350215912
9599,31,0.3078426718711853
9899,32,0.30785393714904785
10199,33,0.3078467845916748
10499,34,0.30783599615097046
10799,35,0.30786964297294617
11099,36,0.3078635036945343
11399,37,0.30788612365722656
11699,38,0.3078930675983429
11999,39,0.30791476368904114
12299,40,0.30790093541145325
12599,41,0.30788254737854004
12899,42,0.30789607763290405
13199,43,0.30789661407470703
13499,44,0.30789870023727417
13799,45,0.3078850507736206
14099,46,0.3078961670398712
14399,47,0.30788376927375793
14699,48,0.3078959882259369
14999,49,0.307911217212677
15299,50,0.3079158365726471
15599,51,0.3079323470592499
15899,52,0.30790993571281433
16199,53,0.3078911602497101
16499,54,0.3078862428665161
16799,55,0.30786746740341187
17099,56,0.3078649640083313
17399,57,0.3078584372997284
17699,58,0.3078555166721344
17999,59,0.3078562617301941
18299,60,0.30783727765083313
18599,61,0.30783021450042725
18899,62,0.3078462779521942
19199,63,0.30783817172050476
19499,64,0.30785027146339417
19799,65,0.3078414797782898
20099,66,0.30784738063812256
20399,67,0.30788561701774597
20699,68,0.3078858256340027
20999,69,0.3084009885787964
21299,70,0.30839717388153076
21599,71,0.30841121077537537
21899,72,0.3084070682525635
22199,73,0.30840161442756653
22499,74,0.30844295024871826
22799,75,0.30843982100486755
23099,76,0.3084341883659363
23399,77,0.30843815207481384
23699,78,0.3084387481212616
23999,79,0.3084486722946167
24299,80,0.3084477186203003
24599,81,0.3084527850151062
24899,82,0.3079569637775421
25199,83,0.30797111988067627
25499,84,0.3079555332660675
25799,85,0.30796316266059875
26099,86,0.3079540729522705
26399,87,0.30793964862823486
26699,88,0.3079494833946228
26999,89,0.3079528510570526
27299,90,0.30797597765922546
27599,91,0.3079962730407715
27899,92,0.3079778254032135
28199,93,0.3079822063446045
28499,94,0.3080179691314697
28799,95,0.3080193102359772
29099,96,0.3080229163169861
29399,97,0.30802014470100403
29699,98,0.30801549553871155
29999,99,0.3080228567123413
30299,100,0.30801719427108765
30599,101,0.3085121512413025
30899,102,0.3085143268108368
31199,103,0.30850541591644287
31499,104,0.30851903557777405
31799,105,0.30851519107818604
32099,106,0.3085324168205261
32399,107,0.30805790424346924
32699,108,0.3080456852912903
32999,109,0.3080495297908783
33299,110,0.30803608894348145
33599,111,0.30805084109306335
33899,112,0.3085572123527527
34199,113,0.3085431456565857
34499,114,0.30855199694633484
34799,115,0.30854085087776184
35099,116,0.3085362911224365
35399,117,0.30854639410972595
35699,118,0.30853793025016785
35999,119,0.3080615699291229
36299,120,0.3080604076385498
36599,121,0.30806100368499756
36899,122,0.3080616593360901
37199,123,0.30806413292884827
37499,124,0.3085649907588959
37799,125,0.3085707426071167
38099,126,0.30858081579208374
38399,127,0.3085756301879883
38699,128,0.30856943130493164
38999,129,0.30856624245643616
39299,130,0.3085682988166809
39599,131,0.3085397779941559
39899,132,0.3085491955280304
40199,133,0.3085607588291168
40499,134,0.3085630238056183
40799,135,0.30856138467788696
41099,136,0.3085678517818451
41399,137,0.3086100220680237
41699,138,0.3075994849205017
41999,139,0.3080974221229553
42299,140,0.30807846784591675
42599,141,0.30804941058158875
42899,142,0.3080522418022156
43199,143,0.3080175220966339
43499,144,0.30801454186439514
43799,145,0.3080165386199951
44099,146,0.30801117420196533
44399,147,0.3075086176395416
44699,148,0.3080269694328308
44999,149,0.3080283999443054
45299,150,0.30802977085113525
45599,151,0.308030903339386
45899,152,0.30802327394485474
46199,153,0.30802667140960693
46499,154,0.30803343653678894
46799,155,0.30803245306015015
47099,156,0.30803370475769043
47399,157,0.3080151081085205
47699,158,0.307995080947876
47999,159,0.30801934003829956
48299,160,0.3080178499221802
48599,161,0.30802756547927856
48899,162,0.30801188945770264
49199,163,0.3080226182937622
