,perturbs,loss
299,0,0.4522736966609955
599,1,0.45471030473709106
899,2,0.45619285106658936
1199,3,0.455485075712204
1499,4,0.45666131377220154
1799,5,0.4567761719226837
2099,6,0.4557567536830902
2399,7,0.4572034776210785
2699,8,0.4570114314556122
2999,9,0.4570540487766266
3299,10,0.4585546851158142
3599,11,0.4572349190711975
3899,12,0.457432359457016
4199,13,0.4561538100242615
4499,14,0.45826372504234314
4799,15,0.45751386880874634
5099,16,0.45759424567222595
5399,17,0.45779794454574585
5699,18,0.45756569504737854
5999,19,0.4574272632598877
6299,20,0.45758455991744995
6599,21,0.4592851400375366
6899,22,0.458171546459198
7199,23,0.4566844403743744
7499,24,0.45680394768714905
7799,25,0.45855697989463806
8099,26,0.45828890800476074
8399,27,0.45804569125175476
8699,28,0.457254022359848
8999,29,0.4565808176994324
9299,30,0.45792174339294434
9599,31,0.4577535390853882
9899,32,0.4591298997402191
10199,33,0.4584731459617615
10499,34,0.45898619294166565
10799,35,0.4586930274963379
11099,36,0.4576614797115326
11399,37,0.4562886953353882
11699,38,0.45780351758003235
11999,39,0.45754003524780273
12299,40,0.45819151401519775
12599,41,0.4573652148246765
12899,42,0.4584563076496124
13199,43,0.45833107829093933
13499,44,0.45895302295684814
13799,45,0.45806077122688293
14099,46,0.45842432975769043
14399,47,0.4591035544872284
14699,48,0.4583129286766052
14999,49,0.4592832326889038
15299,50,0.458728551864624
15599,51,0.4599461257457733
15899,52,0.45678210258483887
16199,53,0.4579707384109497
16499,54,0.45818591117858887
16799,55,0.4586913585662842
17099,56,0.45840421319007874
17399,57,0.45864585041999817
17699,58,0.4587528109550476
17999,59,0.4595715403556824
18299,60,0.4590204954147339
18599,61,0.4590463638305664
18899,62,0.4592680335044861
19199,63,0.4580574035644531
19499,64,0.4593335688114166
19799,65,0.4583088457584381
20099,66,0.4590020179748535
20399,67,0.4576249122619629
20699,68,0.45792773365974426
20999,69,0.45943790674209595
21299,70,0.45812585949897766
21599,71,0.4584025740623474
21899,72,0.458181232213974
22199,73,0.4593624174594879
22499,74,0.46016591787338257
22799,75,0.4598117470741272
23099,76,0.4596267342567444
23399,77,0.4585989713668823
23699,78,0.45982787013053894
23999,79,0.4606607258319855
24299,80,0.4588330090045929
24599,81,0.45959436893463135
24899,82,0.4589154124259949
25199,83,0.46070417761802673
25499,84,0.45691630244255066
25799,85,0.45787978172302246
26099,86,0.45864686369895935
26399,87,0.45896202325820923
26699,88,0.4592559337615967
26999,89,0.459444135427475
27299,90,0.46033045649528503
27599,91,0.45941323041915894
27899,92,0.46004918217658997
28199,93,0.45955443382263184
28499,94,0.460493803024292
28799,95,0.4599897265434265
29099,96,0.45873773097991943
29399,97,0.4601894021034241
29699,98,0.45873650908470154
29999,99,0.4590758979320526
30299,100,0.45982053875923157
30599,101,0.45919716358184814
30899,102,0.4590836465358734
31199,103,0.4602263271808624
31499,104,0.4596528708934784
31799,105,0.45996639132499695
32099,106,0.45869648456573486
32399,107,0.4582298994064331
32699,108,0.4579366147518158
32999,109,0.46023085713386536
33299,110,0.45944732427597046
33599,111,0.4607165455818176
33899,112,0.4601578712463379
34199,113,0.45901861786842346
34499,114,0.45919808745384216
34799,115,0.460656076669693
35099,116,0.4608980417251587
35399,117,0.45962420105934143
35699,118,0.46042168140411377
35999,119,0.4594856798648834
36299,120,0.4612947106361389
36599,121,0.46025440096855164
36899,122,0.46105968952178955
37199,123,0.45932021737098694
37499,124,0.46045103669166565
37799,125,0.46146395802497864
38099,126,0.4597078263759613
38399,127,0.4586252272129059
38699,128,0.4592107832431793
38999,129,0.4588759243488312
39299,130,0.4597901403903961
39599,131,0.45965075492858887
39899,132,0.46098506450653076
40199,133,0.4607614278793335
40499,134,0.4609604477882385
40799,135,0.4608059525489807
41099,136,0.4608973264694214
41399,137,0.46106091141700745
41699,138,0.4592592120170593
41999,139,0.45945194363594055
42299,140,0.45948052406311035
42599,141,0.46141624450683594
42899,142,0.4610203802585602
43199,143,0.46048420667648315
43499,144,0.461819589138031
43799,145,0.46110132336616516
44099,146,0.46219995617866516
44399,147,0.46096882224082947
44699,148,0.45846855640411377
44999,149,0.4604299068450928
45299,150,0.4611993134021759
45599,151,0.460212379693985
45899,152,0.4603802561759949
46199,153,0.45974287390708923
46499,154,0.4604532718658447
46799,155,0.46129468083381653
47099,156,0.46125802397727966
47399,157,0.46069154143333435
47699,158,0.46159037947654724
47999,159,0.45983320474624634
48299,160,0.46175289154052734
48599,161,0.460645467042923
48899,162,0.46195635199546814
49199,163,0.4606406092643738
49499,164,0.46149367094039917
49799,165,0.460967481136322
50099,166,0.4614057242870331
50399,167,0.4607639014720917
50699,168,0.4611774981021881
50999,169,0.45873144268989563
51299,170,0.4609987735748291
51599,171,0.4603516161441803
51899,172,0.4619894027709961
52199,173,0.46098077297210693
52499,174,0.4614391326904297
52799,175,0.4615097939968109
53099,176,0.46223655343055725
53399,177,0.4619351923465729
53699,178,0.462648868560791
53999,179,0.46092307567596436
54299,180,0.46068432927131653
54599,181,0.46152567863464355
54899,182,0.4621843993663788
55199,183,0.4608032703399658
55499,184,0.4601714015007019
55799,185,0.46128737926483154
56099,186,0.46108371019363403
56399,187,0.46223828196525574
56699,188,0.46087005734443665
56999,189,0.46217450499534607
57299,190,0.4612962305545807
57599,191,0.4618704617023468
57899,192,0.46150216460227966
58199,193,0.4611634612083435
58499,194,0.4609161615371704
58799,195,0.46042779088020325
59099,196,0.4634055495262146
59399,197,0.46212390065193176
59699,198,0.4624858498573303
59999,199,0.4630642533302307
60299,200,0.462287575006485
60599,201,0.4619119465351105
60899,202,0.4619435966014862
61199,203,0.46274933218955994
61499,204,0.4619235098361969
61799,205,0.46395397186279297
62099,206,0.46034935116767883
62399,207,0.461474746465683
62699,208,0.45982596278190613
62999,209,0.4628090262413025
63299,210,0.4606882333755493
63599,211,0.46224960684776306
63899,212,0.460973858833313
64199,213,0.46332013607025146
64499,214,0.46314358711242676
64799,215,0.4628381133079529
65099,216,0.4635148048400879
65399,217,0.46049806475639343
65699,218,0.4629317820072174
65999,219,0.4619084894657135
66299,220,0.4630031883716583
66599,221,0.4626142978668213
66899,222,0.4616781175136566
67199,223,0.46157681941986084
67499,224,0.46152836084365845
67799,225,0.4636377990245819
68099,226,0.46281251311302185
68399,227,0.46350398659706116
68699,228,0.4633235037326813
68999,229,0.46312323212623596
69299,230,0.4611273407936096
69599,231,0.4619380235671997
69899,232,0.46127885580062866
70199,233,0.4618038535118103
70499,234,0.4620799422264099
70799,235,0.46232476830482483
71099,236,0.4629591405391693
71399,237,0.46176236867904663
71699,238,0.4635612368583679
71999,239,0.46310773491859436
72299,240,0.4635870158672333
72599,241,0.46340587735176086
72899,242,0.46397048234939575
73199,243,0.4632822573184967
73499,244,0.4623512029647827
73799,245,0.46166935563087463
74099,246,0.4612462818622589
74399,247,0.4627652168273926
74699,248,0.46245697140693665
74999,249,0.4628119170665741
75299,250,0.46258533000946045
75599,251,0.4639553129673004
75899,252,0.46323075890541077
76199,253,0.46306177973747253
76499,254,0.4632367193698883
76799,255,0.46286991238594055
77099,256,0.4629285931587219
77399,257,0.46317896246910095
77699,258,0.46395158767700195
77999,259,0.4635050594806671
78299,260,0.46317631006240845
78599,261,0.46391382813453674
78899,262,0.46201765537261963
79199,263,0.46270596981048584
79499,264,0.4625391364097595
79799,265,0.4624166190624237
80099,266,0.46334466338157654
80399,267,0.4645192325115204
80699,268,0.4642578363418579
80999,269,0.4637250006198883
81299,270,0.46418124437332153
81599,271,0.46390554308891296
81899,272,0.4634989798069
82199,273,0.4637163281440735
82499,274,0.4634614586830139
82799,275,0.4646710753440857
83099,276,0.463436484336853
83399,277,0.461540549993515
83699,278,0.46134909987449646
83999,279,0.4635820984840393
84299,280,0.4629839360713959
84599,281,0.4630371034145355
84899,282,0.46356630325317383
85199,283,0.4639371633529663
85499,284,0.46334409713745117
85799,285,0.4638177752494812
86099,286,0.4635128378868103
86399,287,0.4641607701778412
86699,288,0.46417200565338135
86999,289,0.46387895941734314
87299,290,0.46373626589775085
87599,291,0.46312034130096436
87899,292,0.4640251398086548
88199,293,0.4637344479560852
88499,294,0.4633251428604126
88799,295,0.4616730213165283
89099,296,0.46284350752830505
89399,297,0.4643425941467285
89699,298,0.4644416570663452
89999,299,0.46415042877197266
90299,300,0.4633723199367523
90599,301,0.46380507946014404
90899,302,0.46360912919044495
91199,303,0.4654911458492279
91499,304,0.4647591710090637
91799,305,0.4635823965072632
92099,306,0.46387529373168945
92399,307,0.46415460109710693
92699,308,0.462936133146286
92999,309,0.46188390254974365
93299,310,0.46338388323783875
93599,311,0.4640885293483734
93899,312,0.4643051028251648
94199,313,0.464274138212204
94499,314,0.463909387588501
94799,315,0.4645717740058899
95099,316,0.4656727910041809
95399,317,0.4645789861679077
95699,318,0.46404150128364563
95999,319,0.46334803104400635
96299,320,0.4643275737762451
96599,321,0.4644792377948761
96899,322,0.4652586579322815
97199,323,0.46480414271354675
97499,324,0.4635414481163025
97799,325,0.46469491720199585
98099,326,0.4647819697856903
98399,327,0.4656732976436615
98699,328,0.4650108516216278
98999,329,0.46526169776916504
99299,330,0.46434441208839417
99599,331,0.4627474248409271
99899,332,0.46453607082366943
100199,333,0.46346691250801086
100499,334,0.4649176001548767
100799,335,0.4638029634952545
101099,336,0.4647916257381439
101399,337,0.46400687098503113
101699,338,0.46417245268821716
101999,339,0.4646790027618408
102299,340,0.46575990319252014
102599,341,0.4651201367378235
102899,342,0.4647786617279053
103199,343,0.4655231833457947
103499,344,0.4655190110206604
103799,345,0.4638634920120239
104099,346,0.46462389826774597
104399,347,0.46494734287261963
104699,348,0.4649030268192291
104999,349,0.46480894088745117
105299,350,0.46429795026779175
105599,351,0.46433568000793457
105899,352,0.46583038568496704
106199,353,0.4651934504508972
106499,354,0.46455177664756775
106799,355,0.4654698073863983
107099,356,0.4633881151676178
107399,357,0.46428677439689636
107699,358,0.464577853679657
107999,359,0.46593889594078064
108299,360,0.4644072949886322
108599,361,0.46544787287712097
108899,362,0.4648573398590088
109199,363,0.46619269251823425
109499,364,0.46546849608421326
109799,365,0.46427634358406067
110099,366,0.4664623439311981
110399,367,0.4645290970802307
110699,368,0.4659377336502075
110999,369,0.46561288833618164
111299,370,0.4651772975921631
111599,371,0.46550849080085754
111899,372,0.4653969705104828
112199,373,0.4664927124977112
112499,374,0.4656326472759247
112799,375,0.4658075273036957
113099,376,0.46537020802497864
113399,377,0.46571043133735657
113699,378,0.4651779532432556
113999,379,0.4641333818435669
114299,380,0.46492666006088257
114599,381,0.46548718214035034
114899,382,0.46533286571502686
115199,383,0.46545615792274475
115499,384,0.46660545468330383
115799,385,0.46618959307670593
116099,386,0.46498483419418335
116399,387,0.46604880690574646
116699,388,0.4633062779903412
116999,389,0.4650012254714966
117299,390,0.4648793637752533
117599,391,0.46721982955932617
117899,392,0.4660499095916748
118199,393,0.46556124091148376
118499,394,0.46452078223228455
118799,395,0.46583303809165955
119099,396,0.4647388160228729
119399,397,0.46513882279396057
119699,398,0.4654373824596405
119999,399,0.4660092890262604
120299,400,0.46630576252937317
120599,401,0.46545499563217163
120899,402,0.4658432602882385
121199,403,0.4651159346103668
121499,404,0.46641483902931213
121799,405,0.46650341153144836
122099,406,0.46586036682128906
122399,407,0.4662248194217682
122699,408,0.4663175940513611
122999,409,0.4662061333656311
123299,410,0.4674835801124573
123599,411,0.46683749556541443
123899,412,0.4659871459007263
124199,413,0.46520498394966125
124499,414,0.46369585394859314
124799,415,0.4666939377784729
125099,416,0.46584728360176086
125399,417,0.4668003022670746
125699,418,0.46677449345588684
125999,419,0.46654772758483887
126299,420,0.4661514461040497
126599,421,0.4659174978733063
126899,422,0.4661303460597992
127199,423,0.46795153617858887
127499,424,0.4660642743110657
127799,425,0.466367244720459
128099,426,0.46601220965385437
128399,427,0.46607986092567444
128699,428,0.4668991267681122
128999,429,0.46597060561180115
129299,430,0.4661855697631836
129599,431,0.46529772877693176
129899,432,0.4648696780204773
130199,433,0.4669477939605713
130499,434,0.4656923711299896
130799,435,0.46779006719589233
131099,436,0.46756285429000854
131399,437,0.46639031171798706
131699,438,0.4667395055294037
131999,439,0.46695518493652344
132299,440,0.4664601981639862
132599,441,0.46678271889686584
132899,442,0.46521249413490295
133199,443,0.4668102264404297
133499,444,0.4659856855869293
133799,445,0.46723946928977966
134099,446,0.46667975187301636
134399,447,0.46722158789634705
134699,448,0.46629396080970764
134999,449,0.46732091903686523
135299,450,0.468057245016098
135599,451,0.4669705033302307
135899,452,0.4661900997161865
136199,453,0.4660686254501343
136499,454,0.46526214480400085
136799,455,0.467556357383728
137099,456,0.4664570689201355
137399,457,0.4663063585758209
137699,458,0.467742919921875
137999,459,0.4682156443595886
138299,460,0.467783123254776
138599,461,0.4676612913608551
138899,462,0.46641790866851807
139199,463,0.4678584933280945
139499,464,0.46638166904449463
139799,465,0.4674738049507141
140099,466,0.46684974431991577
140399,467,0.4676361680030823
140699,468,0.46684786677360535
140999,469,0.4668233096599579
141299,470,0.4661048650741577
141599,471,0.467166006565094
141899,472,0.4662001132965088
142199,473,0.46641796827316284
142499,474,0.46824243664741516
142799,475,0.4671083390712738
143099,476,0.4672831892967224
143399,477,0.46783897280693054
143699,478,0.46846064925193787
143999,479,0.4679192900657654
144299,480,0.4673178791999817
144599,481,0.4679146409034729
