,perturbs,loss
299,0,0.47953006625175476
599,1,0.47962772846221924
899,2,0.4797137379646301
1199,3,0.4798027276992798
1499,4,0.47989675402641296
1799,5,0.47998058795928955
2099,6,0.48006173968315125
2399,7,0.4801442325115204
2699,8,0.48020803928375244
2999,9,0.4802990257740021
3299,10,0.48037561774253845
3599,11,0.4804562032222748
3899,12,0.48053115606307983
4199,13,0.48060178756713867
4499,14,0.4806792438030243
4799,15,0.480760782957077
5099,16,0.48083072900772095
5399,17,0.48090511560440063
5699,18,0.4809752106666565
5999,19,0.48103389143943787
6299,20,0.4811037480831146
6599,21,0.48116326332092285
6899,22,0.4812413454055786
7199,23,0.4813215136528015
7499,24,0.48139065504074097
7799,25,0.4814430773258209
8099,26,0.4815026819705963
8399,27,0.4815935790538788
8699,28,0.48165854811668396
8999,29,0.4817204177379608
9299,30,0.481787770986557
9599,31,0.48185306787490845
9899,32,0.48192423582077026
10199,33,0.4819875955581665
10499,34,0.482063353061676
10799,35,0.4821229577064514
11099,36,0.4821917712688446
11399,37,0.4822460412979126
11699,38,0.48231667280197144
11999,39,0.48237788677215576
12299,40,0.48244401812553406
12599,41,0.4824995994567871
12899,42,0.4825582802295685
13199,43,0.4826146066188812
13499,44,0.48265397548675537
13799,45,0.48272374272346497
14099,46,0.48278576135635376
14399,47,0.4824126064777374
14699,48,0.48248669505119324
14999,49,0.48251616954803467
15299,50,0.48258545994758606
15599,51,0.4822275638580322
15899,52,0.4822902977466583
16199,53,0.4823477268218994
16499,54,0.4824158549308777
16799,55,0.4824731647968292
17099,56,0.48253291845321655
17399,57,0.4826001524925232
17699,58,0.4826437830924988
17999,59,0.48270368576049805
18299,60,0.4827688932418823
18599,61,0.4828292727470398
18899,62,0.48286062479019165
19199,63,0.48291367292404175
19499,64,0.4829651415348053
19799,65,0.48302748799324036
20099,66,0.48308029770851135
20399,67,0.4831242859363556
20699,68,0.4831690788269043
20999,69,0.4832320511341095
21299,70,0.4832911491394043
21599,71,0.4833551347255707
21899,72,0.4834119379520416
22199,73,0.4834623634815216
22499,74,0.4835209250450134
22799,75,0.48313775658607483
23099,76,0.48320600390434265
23399,77,0.48326870799064636
23699,78,0.48332181572914124
23999,79,0.48338353633880615
24299,80,0.48342788219451904
24599,81,0.4834778308868408
24899,82,0.48352834582328796
25199,83,0.4835757315158844
25499,84,0.4836215376853943
25799,85,0.4836671054363251
26099,86,0.48372119665145874
26399,87,0.48379433155059814
26699,88,0.4838476777076721
26999,89,0.48389577865600586
27299,90,0.4839632213115692
27599,91,0.48401886224746704
27899,92,0.48408210277557373
28199,93,0.484142005443573
28499,94,0.4841749966144562
28799,95,0.48422420024871826
29099,96,0.4842767119407654
29399,97,0.48433566093444824
29699,98,0.4843972623348236
29999,99,0.4844554662704468
30299,100,0.4845060110092163
30599,101,0.48456138372421265
30899,102,0.4841911494731903
31199,103,0.48426052927970886
31499,104,0.4843255281448364
31799,105,0.4843844473361969
32099,106,0.48445314168930054
32399,107,0.48450425267219543
32699,108,0.4845515191555023
32999,109,0.48457857966423035
33299,110,0.48456892371177673
33599,111,0.48419851064682007
33899,112,0.48425015807151794
34199,113,0.4843090772628784
34499,114,0.4843590557575226
34799,115,0.4844147562980652
35099,116,0.48447325825691223
35399,117,0.48450443148612976
35699,118,0.48455536365509033
35999,119,0.48462095856666565
36299,120,0.48467060923576355
36599,121,0.4842931032180786
36899,122,0.48434585332870483
37199,123,0.4844019412994385
37499,124,0.48447030782699585
37799,125,0.48451435565948486
38099,126,0.48413917422294617
38399,127,0.48417818546295166
38699,128,0.48423218727111816
38999,129,0.48429960012435913
39299,130,0.48477911949157715
39599,131,0.484843373298645
39899,132,0.48490601778030396
40199,133,0.48454615473747253
40499,134,0.4845978915691376
40799,135,0.48465201258659363
41099,136,0.48470747470855713
41399,137,0.4847392141819
41699,138,0.4848046898841858
41999,139,0.4848679304122925
42299,140,0.4849279522895813
42599,141,0.48497989773750305
42899,142,0.485017329454422
43199,143,0.48507076501846313
43499,144,0.48511093854904175
43799,145,0.4851793944835663
44099,146,0.48523470759391785
44399,147,0.48527997732162476
44699,148,0.485313355922699
44999,149,0.4853545129299164
45299,150,0.4854026138782501
45599,151,0.4854423999786377
45899,152,0.4854870140552521
46199,153,0.485544353723526
46499,154,0.4855952262878418
46799,155,0.48565244674682617
47099,156,0.4856877326965332
47399,157,0.4857316315174103
47699,158,0.48577773571014404
47999,159,0.48581570386886597
48299,160,0.4858485162258148
48599,161,0.4854434132575989
48899,162,0.485491007566452
49199,163,0.4855498969554901
49499,164,0.48561155796051025
49799,165,0.4856525659561157
50099,166,0.4856957197189331
50399,167,0.4857412278652191
50699,168,0.4857756495475769
50999,169,0.48581647872924805
51299,170,0.4858799874782562
51599,171,0.4859364628791809
51899,172,0.4859810769557953
52199,173,0.4860423803329468
52499,174,0.4860704243183136
52799,175,0.4861401915550232
53099,176,0.4861835837364197
53399,177,0.48621585965156555
53699,178,0.4862474799156189
53999,179,0.4862811267375946
54299,180,0.4863407015800476
54599,181,0.48641881346702576
54899,182,0.4864334166049957
55199,183,0.4864913821220398
55499,184,0.4865320324897766
55799,185,0.48657405376434326
56099,186,0.4866352081298828
56399,187,0.4866963028907776
56699,188,0.48675379157066345
56999,189,0.4867765009403229
57299,190,0.48681655526161194
57599,191,0.48684561252593994
57899,192,0.48690319061279297
58199,193,0.48695600032806396
58499,194,0.4869845509529114
58799,195,0.4870438575744629
59099,196,0.4870847463607788
59399,197,0.48713865876197815
59699,198,0.48718640208244324
59999,199,0.48722827434539795
60299,200,0.4872865378856659
60599,201,0.4873339831829071
60899,202,0.48737865686416626
61199,203,0.4873976409435272
61499,204,0.48745298385620117
61799,205,0.4874979257583618
62099,206,0.4875566363334656
62399,207,0.48760244250297546
62699,208,0.48764896392822266
62999,209,0.48726797103881836
63299,210,0.48731741309165955
63599,211,0.48737648129463196
63899,212,0.4874032437801361
64199,213,0.4874574840068817
64499,214,0.48750725388526917
64799,215,0.48753806948661804
65099,216,0.48757728934288025
65399,217,0.48763054609298706
65699,218,0.4876757264137268
65999,219,0.4877166152000427
66299,220,0.48775798082351685
66599,221,0.48781314492225647
66899,222,0.48787373304367065
67199,223,0.4879089295864105
67499,224,0.48795342445373535
67799,225,0.48800748586654663
68099,226,0.48804357647895813
68399,227,0.4880843758583069
68699,228,0.48810702562332153
68999,229,0.48816660046577454
69299,230,0.48819848895072937
69599,231,0.48782214522361755
69899,232,0.48785537481307983
70199,233,0.48791053891181946
70499,234,0.487935334444046
70799,235,0.4879671633243561
71099,236,0.48800936341285706
71399,237,0.4880541265010834
71699,238,0.48808929324150085
71999,239,0.48770976066589355
72299,240,0.48773717880249023
72599,241,0.48779359459877014
72899,242,0.4878416955471039
73199,243,0.4874594807624817
73499,244,0.4875098764896393
73799,245,0.48755618929862976
74099,246,0.48761552572250366
74399,247,0.4876687228679657
74699,248,0.48771288990974426
74999,249,0.48775556683540344
75299,250,0.48780104517936707
75599,251,0.48785459995269775
75899,252,0.487922340631485
76199,253,0.4879603087902069
76499,254,0.48800644278526306
76799,255,0.4880485534667969
77099,256,0.4880962371826172
77399,257,0.4877096116542816
77699,258,0.4877695143222809
77999,259,0.4878098964691162
78299,260,0.48786380887031555
78599,261,0.48790663480758667
78899,262,0.4879366159439087
79199,263,0.4879893362522125
79499,264,0.488027960062027
79799,265,0.4880746304988861
80099,266,0.4881202280521393
80399,267,0.4881725013256073
80699,268,0.4882161617279053
80999,269,0.4882485568523407
81299,270,0.4882952868938446
81599,271,0.48875296115875244
81899,272,0.48879319429397583
82199,273,0.4888138175010681
82499,274,0.48884686827659607
82799,275,0.48887747526168823
83099,276,0.48893263936042786
83399,277,0.4889841377735138
83699,278,0.4890285134315491
83999,279,0.4890751540660858
84299,280,0.4891088902950287
84599,281,0.48913732171058655
84899,282,0.4891819655895233
85199,283,0.4892277121543884
85499,284,0.4892714023590088
85799,285,0.4893135130405426
86099,286,0.4893329441547394
86399,287,0.48936837911605835
86699,288,0.48939749598503113
86999,289,0.4894338846206665
87299,290,0.48948103189468384
87599,291,0.4895196855068207
87899,292,0.48956018686294556
88199,293,0.4895896017551422
88499,294,0.48963817954063416
88799,295,0.48968595266342163
89099,296,0.4897235929965973
89399,297,0.48976799845695496
89699,298,0.4893827736377716
89999,299,0.4894324839115143
90299,300,0.48947617411613464
90599,301,0.4899437427520752
90899,302,0.4899978041648865
91199,303,0.49004697799682617
91499,304,0.4900667071342468
91799,305,0.49011608958244324
92099,306,0.4901506006717682
92399,307,0.490203320980072
92699,308,0.490220844745636
92999,309,0.4902757704257965
93299,310,0.49030083417892456
93599,311,0.49032771587371826
93899,312,0.49037405848503113
94199,313,0.4899861514568329
94499,314,0.49002572894096375
94799,315,0.49006906151771545
95099,316,0.49010077118873596
95399,317,0.4901449978351593
95699,318,0.4902056157588959
95999,319,0.49023085832595825
96299,320,0.49026599526405334
96599,321,0.4902978837490082
96899,322,0.49034592509269714
97199,323,0.4904066026210785
97499,324,0.4904588460922241
97799,325,0.49050357937812805
98099,326,0.4905413091182709
98399,327,0.4905790090560913
98699,328,0.49062976241111755
98999,329,0.4906635880470276
99299,330,0.4911288917064667
99599,331,0.4911763072013855
99899,332,0.49122318625450134
100199,333,0.4908522963523865
100499,334,0.49089935421943665
100799,335,0.49094662070274353
101099,336,0.4909716248512268
101399,337,0.4910411536693573
101699,338,0.49106359481811523
101999,339,0.4911138415336609
102299,340,0.49115967750549316
102599,341,0.4912073612213135
102899,342,0.4916585683822632
103199,343,0.4916990101337433
103499,344,0.49172526597976685
103799,345,0.49176639318466187
104099,346,0.4918084144592285
104399,347,0.4918636679649353
104699,348,0.4919050633907318
104999,349,0.49193036556243896
105299,350,0.4919651448726654
105599,351,0.4920070171356201
105899,352,0.49205130338668823
106199,353,0.4920859634876251
106499,354,0.4921417832374573
106799,355,0.49219661951065063
107099,356,0.492234468460083
107399,357,0.4922773838043213
107699,358,0.49232423305511475
107999,359,0.4923681914806366
108299,360,0.49241116642951965
108599,361,0.4924677908420563
108899,362,0.4925187826156616
109199,363,0.4925568699836731
109499,364,0.49258163571357727
109799,365,0.4926123023033142
110099,366,0.4926462769508362
110399,367,0.4926855266094208
110699,368,0.4927060306072235
110999,369,0.49275171756744385
111299,370,0.49277952313423157
111599,371,0.49283263087272644
111899,372,0.4928705096244812
112199,373,0.49292123317718506
112499,374,0.4929562509059906
112799,375,0.4929853081703186
113099,376,0.4930262863636017
113399,377,0.49307557940483093
113699,378,0.493108332157135
113999,379,0.49315333366394043
114299,380,0.49321249127388
114599,381,0.49324139952659607
114899,382,0.49329355359077454
115199,383,0.49332427978515625
115499,384,0.4933682680130005
115799,385,0.4934113025665283
116099,386,0.4934603273868561
116399,387,0.49349772930145264
116699,388,0.4935411512851715
116999,389,0.493576318025589
117299,390,0.49361684918403625
117599,391,0.49367427825927734
117899,392,0.4937107563018799
118199,393,0.4937489628791809
118499,394,0.4937964081764221
118799,395,0.4938359260559082
119099,396,0.4934493899345398
119399,397,0.49349987506866455
119699,398,0.4935302734375
119999,399,0.4935619533061981
120299,400,0.4935859143733978
120599,401,0.49361857771873474
120899,402,0.49367642402648926
121199,403,0.4937422275543213
121499,404,0.4937838017940521
121799,405,0.49381905794143677
122099,406,0.4938615560531616
122399,407,0.493897020816803
122699,408,0.4939236640930176
122999,409,0.49396878480911255
123299,410,0.49400296807289124
123599,411,0.49404072761535645
123899,412,0.4940863251686096
124199,413,0.493708074092865
