,perturbs,loss
299,0,0.3286013603210449
599,1,0.32860833406448364
899,2,0.3286094069480896
1199,3,0.3286079168319702
1499,4,0.32860466837882996
1799,5,0.3285980522632599
2099,6,0.32859617471694946
2399,7,0.3285919427871704
2699,8,0.3285828232765198
2999,9,0.3285819888114929
3299,10,0.3285820186138153
3599,11,0.3285812437534332
3899,12,0.32858482003211975
4199,13,0.3286021947860718
4499,14,0.3286035358905792
4799,15,0.32860317826271057
5099,16,0.32860037684440613
5399,17,0.32860705256462097
5699,18,0.3286131024360657
5999,19,0.32861536741256714
6299,20,0.32860881090164185
6599,21,0.32861489057540894
6899,22,0.32861703634262085
7199,23,0.3286117911338806
7499,24,0.3286075294017792
7799,25,0.3286029100418091
8099,26,0.3286060094833374
8399,27,0.3286166787147522
8699,28,0.3286198377609253
8999,29,0.3286198079586029
9299,30,0.3286278545856476
9599,31,0.32862406969070435
9899,32,0.3286287486553192
10199,33,0.32863205671310425
10499,34,0.3286413252353668
10799,35,0.3286508619785309
11099,36,0.32866162061691284
11399,37,0.32865920662879944
11699,38,0.32866206765174866
11999,39,0.3286508619785309
12299,40,0.3286515474319458
12599,41,0.32865071296691895
12899,42,0.3286519944667816
13199,43,0.32866254448890686
13499,44,0.32865357398986816
13799,45,0.32865169644355774
14099,46,0.3286566734313965
14399,47,0.3286539912223816
14699,48,0.32865598797798157
14999,49,0.3286534249782562
15299,50,0.32865747809410095
15599,51,0.32865816354751587
15899,52,0.32865673303604126
16199,53,0.3286547064781189
16499,54,0.3286602795124054
16799,55,0.32865771651268005
17099,56,0.3286537230014801
17399,57,0.32866019010543823
17699,58,0.3286597430706024
17999,59,0.3286600410938263
18299,60,0.3286580443382263
18599,61,0.3286609947681427
18899,62,0.3286604881286621
19199,63,0.32866257429122925
19499,64,0.3286682963371277
19799,65,0.3286662995815277
20099,66,0.32868584990501404
20399,67,0.32869186997413635
20699,68,0.3287064731121063
20999,69,0.3286989629268646
21299,70,0.32870063185691833
21599,71,0.3286953270435333
21899,72,0.3286910951137543
22199,73,0.32869186997413635
22499,74,0.32868751883506775
22799,75,0.32868942618370056
23099,76,0.32868441939353943
23399,77,0.3286828398704529
23699,78,0.3286811113357544
23999,79,0.32867616415023804
24299,80,0.32868728041648865
24599,81,0.3286878168582916
24899,82,0.32867419719696045
25199,83,0.3286687135696411
25499,84,0.32866665720939636
25799,85,0.3286685645580292
26099,86,0.3286644220352173
26399,87,0.32866278290748596
26699,88,0.32866498827934265
26999,89,0.3286680281162262
27299,90,0.3286699056625366
27599,91,0.3286738097667694
27899,92,0.32867690920829773
28199,93,0.32867491245269775
28499,94,0.3286857008934021
28799,95,0.3286783993244171
29099,96,0.3286719024181366
29399,97,0.3286716043949127
29699,98,0.32867518067359924
29999,99,0.32867133617401123
30299,100,0.3286643624305725
30599,101,0.3286440968513489
30899,102,0.3286413550376892
31199,103,0.3286350667476654
31499,104,0.32863473892211914
31799,105,0.3286384642124176
32099,106,0.32864320278167725
32399,107,0.3286462128162384
32699,108,0.3286465108394623
32999,109,0.3286449909210205
33299,110,0.3286517858505249
33599,111,0.3286508023738861
33899,112,0.32864701747894287
34199,113,0.3286488354206085
34499,114,0.32864654064178467
34799,115,0.3286482095718384
35099,116,0.32865628600120544
35399,117,0.32866171002388
35699,118,0.3286609649658203
35999,119,0.3286534249782562
36299,120,0.32865652441978455
36599,121,0.3286598324775696
36899,122,0.3286498785018921
37199,123,0.3286587595939636
37499,124,0.32866472005844116
37799,125,0.32866719365119934
38099,126,0.3286718726158142
38399,127,0.32867440581321716
38699,128,0.32867148518562317
38999,129,0.32868075370788574
39299,130,0.32868608832359314
39599,131,0.32868683338165283
39899,132,0.3286961615085602
40199,133,0.328693687915802
40499,134,0.3287120759487152
40799,135,0.3287118077278137
41099,136,0.3287121057510376
41399,137,0.3287104666233063
41699,138,0.328708678483963
41999,139,0.3287145495414734
42299,140,0.3287106156349182
42599,141,0.3287146985530853
42899,142,0.3287253677845001
43199,143,0.32872769236564636
43499,144,0.3287263512611389
43799,145,0.32872456312179565
44099,146,0.3287290036678314
44399,147,0.32873085141181946
44699,148,0.32873281836509705
44999,149,0.3287418782711029
45299,150,0.3287530243396759
45599,151,0.32875514030456543
45899,152,0.3287656903266907
46199,153,0.3287648558616638
46499,154,0.3287726938724518
46799,155,0.32877933979034424
47099,156,0.32878202199935913
47399,157,0.3287793695926666
47699,158,0.3287823498249054
47999,159,0.32878145575523376
48299,160,0.3287786543369293
48599,161,0.32877689599990845
48899,162,0.3287770450115204
49199,163,0.3287830650806427
49499,164,0.3287854790687561
49799,165,0.32878848910331726
50099,166,0.328785240650177
50399,167,0.3287866711616516
50699,168,0.32878997921943665
50999,169,0.32879188656806946
51299,170,0.32879337668418884
51599,171,0.32878902554512024
51899,172,0.3287826180458069
52199,173,0.32877668738365173
52499,174,0.328777939081192
52799,175,0.3287907838821411
53099,176,0.32878968119621277
53399,177,0.328795850276947
53699,178,0.3288023769855499
