,perturbs,loss
399,0,0.22909808158874512
799,1,0.22868384420871735
1199,2,0.2287074625492096
1599,3,0.228714257478714
1999,4,0.22873640060424805
2399,5,0.22880414128303528
2799,6,0.22874845564365387
3199,7,0.2288026511669159
3599,8,0.22881388664245605
3999,9,0.22884029150009155
4399,10,0.228865846991539
4799,11,0.22931307554244995
5199,12,0.2293177843093872
5599,13,0.22935637831687927
5999,14,0.2293701320886612
6399,15,0.22938436269760132
6799,16,0.22941239178180695
7199,17,0.2294415980577469
7599,18,0.229468435049057
7999,19,0.22950482368469238
8399,20,0.2295265942811966
8799,21,0.2295418232679367
9199,22,0.2295663207769394
9599,23,0.22956925630569458
9999,24,0.22957468032836914
10399,25,0.22959043085575104
10799,26,0.2296060025691986
11199,27,0.2296501249074936
11599,28,0.22966808080673218
11999,29,0.2296854555606842
12399,30,0.2296791970729828
12799,31,0.22970107197761536
13199,32,0.22971303761005402
13599,33,0.22972044348716736
13999,34,0.22929704189300537
14399,35,0.22932069003582
14799,36,0.22934311628341675
15199,37,0.2293291985988617
15599,38,0.22934620082378387
15999,39,0.2293417751789093
16399,40,0.2293621301651001
16799,41,0.22937345504760742
17199,42,0.22941119968891144
17599,43,0.22942112386226654
17999,44,0.22986893355846405
18399,45,0.22947178781032562
18799,46,0.22949007153511047
19199,47,0.2295037806034088
19599,48,0.22992323338985443
19999,49,0.22954052686691284
20399,50,0.2295565903186798
20799,51,0.229563906788826
21199,52,0.22956699132919312
21599,53,0.22958937287330627
21999,54,0.22960339486598969
22399,55,0.22961761057376862
22799,56,0.22962786257266998
23199,57,0.2296210676431656
23599,58,0.22961439192295074
23999,59,0.22963085770606995
24399,60,0.2296363264322281
24799,61,0.22966253757476807
25199,62,0.2296738177537918
25599,63,0.2296798825263977
25999,64,0.22968751192092896
26399,65,0.22969649732112885
26799,66,0.22972002625465393
27199,67,0.22971904277801514
27599,68,0.22973282635211945
27999,69,0.22972720861434937
28399,70,0.22972515225410461
28799,71,0.22972699999809265
29199,72,0.22973068058490753
29599,73,0.22974351048469543
29999,74,0.2297506183385849
30399,75,0.22977109253406525
30799,76,0.22977964580059052
31199,77,0.22983402013778687
31599,78,0.22983931005001068
31999,79,0.22986841201782227
32399,80,0.22987061738967896
32799,81,0.22989784181118011
33199,82,0.22993583977222443
33599,83,0.22957618534564972
33999,84,0.22960272431373596
34399,85,0.22962240874767303
34799,86,0.22963440418243408
35199,87,0.22965168952941895
35599,88,0.23007528483867645
35999,89,0.22970183193683624
36399,90,0.23015563189983368
36799,91,0.23017115890979767
37199,92,0.23018665611743927
37599,93,0.23019739985466003
37999,94,0.2302107959985733
38399,95,0.23023726046085358
38799,96,0.23023460805416107
39199,97,0.23024499416351318
39599,98,0.23026390373706818
39999,99,0.22979526221752167
40399,100,0.22980886697769165
40799,101,0.2298041582107544
41199,102,0.2298118621110916
41599,103,0.2297850400209427
41999,104,0.2297995388507843
42399,105,0.22980302572250366
42799,106,0.22984476387500763
43199,107,0.2294669896364212
43599,108,0.22947321832180023
43999,109,0.2295108586549759
44399,110,0.22909142076969147
44799,111,0.2291429042816162
45199,112,0.2291838377714157
45599,113,0.2292092740535736
45999,114,0.22875075042247772
46399,115,0.22880621254444122
46799,116,0.22882136702537537
47199,117,0.22882354259490967
47599,118,0.22881844639778137
47999,119,0.22923311591148376
48399,120,0.22923003137111664
48799,121,0.22927992045879364
49199,122,0.22930891811847687
49599,123,0.22933655977249146
49999,124,0.22935619950294495
50399,125,0.22938331961631775
50799,126,0.22940459847450256
51199,127,0.2289089560508728
51599,128,0.2289222925901413
51999,129,0.22932668030261993
52399,130,0.22897136211395264
52799,131,0.22940556704998016
53199,132,0.22940972447395325
53599,133,0.22944708168506622
53999,134,0.22945159673690796
54399,135,0.22946323454380035
54799,136,0.22949624061584473
55199,137,0.22951163351535797
55599,138,0.22952142357826233
55999,139,0.22914132475852966
56399,140,0.22914163768291473
56799,141,0.22915281355381012
57199,142,0.2291669249534607
57599,143,0.22916312515735626
57999,144,0.22917382419109344
58399,145,0.22918418049812317
58799,146,0.22922876477241516
59199,147,0.2292376160621643
59599,148,0.22922495007514954
59999,149,0.2292231321334839
60399,150,0.22923214733600616
60799,151,0.2292615920305252
61199,152,0.22928722202777863
61599,153,0.2293279767036438
61999,154,0.22933092713356018
62399,155,0.22934865951538086
62799,156,0.22937366366386414
63199,157,0.2293790727853775
63599,158,0.2293979972600937
63999,159,0.22939984500408173
64399,160,0.22941939532756805
64799,161,0.22941897809505463
65199,162,0.22944524884223938
65599,163,0.22947481274604797
65999,164,0.22948609292507172
66399,165,0.22951315343379974
66799,166,0.22956649959087372
67199,167,0.2296021580696106
67599,168,0.22962352633476257
67999,169,0.22963351011276245
68399,170,0.22963382303714752
68799,171,0.22962944209575653
69199,172,0.2296048253774643
69599,173,0.2296319305896759
69999,174,0.22968128323554993
70399,175,0.22968122363090515
70799,176,0.2296777069568634
71199,177,0.2296992391347885
71599,178,0.22968868911266327
71999,179,0.22971510887145996
72399,180,0.22972334921360016
72799,181,0.2297728806734085
73199,182,0.22976821660995483
73599,183,0.22978085279464722
73999,184,0.22978349030017853
74399,185,0.2298106998205185
74799,186,0.2298460155725479
75199,187,0.2302578091621399
75599,188,0.23026446998119354
75999,189,0.22986195981502533
76399,190,0.22985796630382538
76799,191,0.22987565398216248
77199,192,0.22989952564239502
77599,193,0.22989870607852936
77999,194,0.22991620004177094
78399,195,0.22990620136260986
78799,196,0.22992056608200073
79199,197,0.2299295961856842
79599,198,0.2299407720565796
79999,199,0.2299586534500122
80399,200,0.22996622323989868
80799,201,0.229966402053833
81199,202,0.23002655804157257
81599,203,0.23003940284252167
