,perturbs,loss
399,0,0.36867403984069824
799,1,0.3686804473400116
1199,2,0.3686828911304474
1599,3,0.36869901418685913
1999,4,0.3687116205692291
2399,5,0.3686923384666443
2799,6,0.36870601773262024
3199,7,0.3687230348587036
3599,8,0.36873501539230347
3999,9,0.36873018741607666
4399,10,0.36873626708984375
4799,11,0.3687554895877838
5199,12,0.368762731552124
5599,13,0.3687697649002075
5999,14,0.3687630295753479
6399,15,0.3687547445297241
6799,16,0.3687549829483032
7199,17,0.36875826120376587
7599,18,0.36874139308929443
7999,19,0.3687417805194855
8399,20,0.36873874068260193
8799,21,0.3687627911567688
9199,22,0.36875221133232117
9599,23,0.3687381446361542
9999,24,0.3687485158443451
10399,25,0.3687532842159271
10799,26,0.36875849962234497
11199,27,0.3687574863433838
11599,28,0.36876851320266724
11999,29,0.36876460909843445
12399,30,0.36875396966934204
12799,31,0.36876553297042847
13199,32,0.3687671720981598
13599,33,0.3687697947025299
13999,34,0.36876803636550903
14399,35,0.36874261498451233
14799,36,0.3687796890735626
15199,37,0.36878854036331177
15599,38,0.3688131272792816
15999,39,0.3688095211982727
16399,40,0.36881721019744873
16799,41,0.36882999539375305
17199,42,0.36924779415130615
17599,43,0.3692701458930969
17999,44,0.369272381067276
18399,45,0.36929085850715637
18799,46,0.3692964017391205
19199,47,0.36930808424949646
19599,48,0.36930784583091736
19999,49,0.3693118691444397
20399,50,0.3693196475505829
20799,51,0.36931926012039185
21199,52,0.36932796239852905
21599,53,0.3693210780620575
21999,54,0.36933234333992004
22399,55,0.3693351149559021
22799,56,0.36932042241096497
23199,57,0.3693344295024872
23599,58,0.36933210492134094
23999,59,0.3693423867225647
24399,60,0.36935457587242126
24799,61,0.3693564236164093
25199,62,0.3693523705005646
25599,63,0.3693586587905884
25999,64,0.36934706568717957
26399,65,0.36935853958129883
26799,66,0.36936435103416443
27199,67,0.36935463547706604
27599,68,0.36935296654701233
27999,69,0.3693445324897766
28399,70,0.3693464398384094
28799,71,0.3693477511405945
29199,72,0.3693790137767792
29599,73,0.36938607692718506
29999,74,0.3693975806236267
30399,75,0.3694095313549042
30799,76,0.3693985939025879
31199,77,0.3693903088569641
31599,78,0.36941757798194885
31999,79,0.36943531036376953
32399,80,0.3694567084312439
32799,81,0.3694456219673157
33199,82,0.3694353401660919
33599,83,0.3694615960121155
33999,84,0.3694749176502228
34399,85,0.36947697401046753
34799,86,0.3694801926612854
35199,87,0.36947476863861084
35599,88,0.3695056438446045
35999,89,0.3695504665374756
36399,90,0.3695580065250397
36799,91,0.36958229541778564
37199,92,0.3695659637451172
37599,93,0.3695636987686157
37999,94,0.3695744574069977
38399,95,0.36958178877830505
38799,96,0.3691749572753906
39199,97,0.36919406056404114
39599,98,0.36919471621513367
39999,99,0.3692095875740051
40399,100,0.3692080080509186
40799,101,0.3692118227481842
41199,102,0.3692152500152588
41599,103,0.36923056840896606
41999,104,0.3692474067211151
42399,105,0.3692641258239746
42799,106,0.36926382780075073
43199,107,0.36926525831222534
43599,108,0.3692750334739685
43999,109,0.36927616596221924
44399,110,0.3692808747291565
44799,111,0.369266539812088
45199,112,0.36927124857902527
45599,113,0.3692839741706848
45999,114,0.36929455399513245
46399,115,0.3692966401576996
46799,116,0.3693021535873413
47199,117,0.36929091811180115
47599,118,0.3693006634712219
47999,119,0.3693014681339264
48399,120,0.369322806596756
48799,121,0.3693394064903259
49199,122,0.3693503439426422
49599,123,0.3693673312664032
49999,124,0.3693738281726837
50399,125,0.36936983466148376
50799,126,0.3693733215332031
51199,127,0.36937621235847473
51599,128,0.36938682198524475
51999,129,0.3693818747997284
52399,130,0.36938953399658203
52799,131,0.36940068006515503
53199,132,0.3694055378437042
53599,133,0.36941802501678467
53999,134,0.3694220185279846
54399,135,0.3694171905517578
54799,136,0.36942365765571594
55199,137,0.3694218695163727
55599,138,0.3694291412830353
55999,139,0.36943939328193665
56399,140,0.36944472789764404
56799,141,0.3694498836994171
57199,142,0.3694503903388977
57599,143,0.369452565908432
57999,144,0.3694538176059723
58399,145,0.36945077776908875
58799,146,0.36945706605911255
59199,147,0.36944273114204407
59599,148,0.36947447061538696
59999,149,0.3694706857204437
60399,150,0.36948463320732117
60799,151,0.369477778673172
61199,152,0.36950358748435974
61599,153,0.3694990873336792
61999,154,0.36950600147247314
62399,155,0.36952725052833557
62799,156,0.36952951550483704
63199,157,0.36952900886535645
63599,158,0.369547963142395
63999,159,0.3695528507232666
64399,160,0.36954230070114136
64799,161,0.36954182386398315
65199,162,0.3691219091415405
65599,163,0.36912670731544495
65999,164,0.3691336512565613
66399,165,0.3691614866256714
66799,166,0.3691554069519043
67199,167,0.3691492974758148
67599,168,0.3691474497318268
67999,169,0.3691452741622925
68399,170,0.3691522479057312
68799,171,0.36916056275367737
69199,172,0.3691786527633667
69599,173,0.36917608976364136
69999,174,0.36918190121650696
70399,175,0.36919739842414856
70799,176,0.369200736284256
71199,177,0.369193434715271
71599,178,0.3691965639591217
71999,179,0.36918380856513977
72399,180,0.36917129158973694
72799,181,0.3687382638454437
73199,182,0.36874014139175415
73599,183,0.3687368333339691
73999,184,0.36874502897262573
74399,185,0.3687375783920288
74799,186,0.36873385310173035
75199,187,0.3687501549720764
75599,188,0.36877796053886414
75999,189,0.36876440048217773
76399,190,0.3687611520290375
76799,191,0.3687624931335449
77199,192,0.3687680661678314
77599,193,0.3687824606895447
77999,194,0.36879032850265503
78399,195,0.3687859773635864
78799,196,0.36879295110702515
79199,197,0.36879029870033264
79599,198,0.36878564953804016
