 ,Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,83.601,79.9014,84.8376,80.7236,83.601,79.9014,84.8376,80.7236
2000,83.2812,79.6067,85.1128,80.0079,83.3989,79.5919,85.1723,80.4165
4000,82.6281,79.052,85.0565,79.6934,83.2246,79.1412,85.4984,79.5894
6000,82.1897,78.7202,84.5794,79.5919,83.0523,78.8589,84.9971,78.3586
8000,81.6065,78.0392,83.4519,76.2735,82.8156,78.3388,84.5463,77.5959
10000,80.9457,77.2121,83.5022,77.3755,82.7337,77.6702,84.3869,77.2864
Drop %,2.655299999999997,2.6892999999999887,1.3353999999999928,3.3481000000000023,0.8673000000000002,2.231200000000001,0.45069999999999766,3.4372000000000043
