 ,Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,86.8036,77.2888,94.6942,75.0551,86.8036,77.2888,94.6942,75.0551
1000,86.2135,76.583,94.4931,74.1834,86.5794,77.1848,94.6101,74.545
2000,85.852,76.1819,94.3002,73.6262,86.4555,76.645,94.4963,74.1487
3000,85.4813,75.9045,94.1093,72.9873,86.3966,76.0531,94.4084,73.7525
4000,84.9703,75.169,93.9827,72.4524,86.1701,75.8723,94.3607,73.1904
5000,84.6993,74.5152,93.8624,71.9967,86.1057,75.4761,94.1921,72.7991
Drop %,2.104300000000009,2.773600000000002,0.8318000000000012,3.058399999999992,0.6979000000000042,1.8126999999999924,0.5020999999999987,2.2560000000000002
