 ,Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,81.8938,79.8569,75.6157,74.8619,81.8938,79.8569,75.6157,74.8619
2000,81.7192,79.8098,77.2642,76.6029,81.822,79.5523,77.4569,76.3131
4000,81.4965,79.9312,77.1815,76.4097,81.7496,79.4755,77.5756,76.0159
6000,81.2081,79.6092,76.5368,76.6375,81.7335,79.2873,77.1381,75.4315
8000,80.8289,79.426,75.9793,75.5132,81.5764,78.9579,76.6652,74.9907
10000,80.2901,79.0718,75.526,74.956,81.4711,78.6211,76.198,74.0026
Drop %,1.6037000000000035,0.7850999999999999,0.08970000000000766,-0.09409999999999741,0.42269999999999186,1.2357999999999976,-0.5822999999999894,0.8593000000000046
