 ,Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Meta-attack (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %),Baseline (Accuracy %)
 ,Surrogate,Surrogate,Target,Target,Surrogate,Surrogate,Target,Target
Perturbs,Training,Unseen,Training,Unseen,Training,Unseen,Training,Unseen
0,85.087,80.679,83.1812,79.4904,85.087,80.679,83.1812,79.4904
2000,83.9613,79.6687,82.7546,78.9455,84.8273,80.6419,83.0855,79.0446
4000,83.628,79.6984,82.2502,78.1878,85.0027,80.4487,83.0313,78.7648
6000,82.3661,79.2898,81.7536,77.4671,83.4729,78.9034,82.8872,78.428
8000,81.0261,77.6999,81.0327,76.7737,84.3312,78.7301,82.7117,77.7742
10000,79.6946,76.0531,80.3302,75.699,83.9763,78.4503,82.5147,77.3532
Drop %,5.392400000000009,4.6259000000000015,2.850999999999999,3.791399999999996,1.1107000000000085,2.2287000000000035,0.6664999999999992,2.137199999999993
